Source,Target,Frequency
1,3,44.4571
1,4,0.1269
1,7,80.1678
1,11,1.1083
1,15,1.9623
1,16,0.6848
1,17,0.7447
1,23,0.7738
1,29,1.3241
1,30,0.3269
1,31,1.7171
1,33,0.0167
1,35,0.693
1,41,0.27
1,43,0.6303
1,44,0.1
1,45,17.1538
1,47,0.2183
1,50,16.92
1,58,0.125
1,61,17.0376
1,64,2.2077
1,65,0.4312
1,67,1.8189
1,73,0.45
1,75,0.351
1,76,0.1922
1,79,0.7617
1,83,0.0167
1,84,0.4
1,85,0.2
1,86,1.5803
1,88,0.1336
1,89,0.0167
1,90,0.0167
1,91,0.02
1,97,24.9825
1,98,53.5291
3,4,21.6097
3,7,92.2892
3,11,61.2768
3,15,244.2561
3,16,27.091
3,17,303.6124
3,18,3.2456
3,21,3.3303
3,23,82.0208
3,27,5.7611
3,29,138.0416
3,30,19.224
3,31,241.3366
3,33,20.0979
3,35,271.3478
3,39,71.1553
3,40,16.3467
3,41,12.9714
3,43,21.2598
3,44,53.194
3,45,70.9952
3,47,100.686
3,50,6.0268
3,51,2.0621
3,58,64.4041
3,61,10.12
3,64,259.6636
3,65,203.621
3,66,7.5429
3,67,137.2158
3,73,2.4645
3,74,50.9917
3,75,19.1453
3,76,133.3997
3,78,8.6379
3,79,36.1827
3,80,2.2194
3,82,142.5095
3,83,6.0761
3,84,162.8938
3,85,66.934
3,86,205.4581
3,88,160.303
3,89,26.33
3,90,54.22
3,91,3.5796
3,92,55.7119
3,94,23.0582
3,95,40.3626
3,97,1736.3427
3,98,723.2329
3,104,96.2173
4,7,2.6879
4,11,0.4437
4,15,13.2427
4,16,1.1736
4,17,5.8683
4,18,0.1886
4,21,0.1584
4,23,2.9132
4,27,0.0825
4,29,9.6422
4,30,2.9316
4,31,10.9106
4,33,0.2535
4,35,1.3881
4,39,0.1726
4,40,0.05
4,41,0.8545
4,43,0.7378
4,44,36.5434
4,45,9.8783
4,47,3.8231
4,50,0.85
4,51,0.05
4,58,10.5304
4,61,0.2828
4,64,13.0423
4,65,0.9881
4,67,11.8403
4,73,0.394
